Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Eg.  
Vardas1             Pavarde1            2    6    3    6    8    6    2    9    10   10   9    
Vardas2             Pavarde2            8    7    2    7    4    9    4    6    7    2    3    
Vardas3             Pavarde3            1    6    9    4    7    5    8    9    5    1    9    
Vardas4             Pavarde4            7    6    8    5    10   9    1    5    10   3    3    
Vardas5             Pavarde5            5    1    4    8    6    6    5    3    10   8    7    
Vardas6             Pavarde6            7    6    1    7    7    9    7    8    1    4    1    
Vardas7             Pavarde7            8    10   7    5    5    7    9    1    8    10   9    
Vardas8             Pavarde8            9    3    4    8    9    10   9    5    9    6    9    
Vardas9             Pavarde9            1    7    3    5    8    6    7    8    9    8    5    
Vardas10            Pavarde10           10   1    7    9    2    2    1    6    10   3    8    
Vardas11            Pavarde11           10   6    2    10   6    5    5    1    9    8    2    
Vardas12            Pavarde12           2    6    1    5    10   8    9    1    6    10   8    
Vardas13            Pavarde13           2    3    5    3    1    2    6    7    7    1    2    
Vardas14            Pavarde14           2    8    4    2    6    5    9    5    2    6    9    
Vardas15            Pavarde15           3    3    4    10   10   2    4    7    6    6    6    
Vardas16            Pavarde16           8    1    4    8    9    5    4    5    8    8    5    
Vardas17            Pavarde17           4    6    1    6    3    8    10   6    2    6    10   
Vardas18            Pavarde18           5    3    5    10   4    3    2    10   7    9    5    
Vardas19            Pavarde19           8    4    3    9    10   7    6    10   8    9    3    
Vardas20            Pavarde20           10   9    10   8    4    6    8    4    2    10   1    
Vardas21            Pavarde21           1    4    6    1    4    3    10   3    7    9    10   
Vardas22            Pavarde22           7    6    8    8    4    10   7    10   4    7    9    
Vardas23            Pavarde23           4    8    8    4    1    3    6    7    8    7    3    
Vardas24            Pavarde24           10   3    4    3    10   1    3    8    1    9    7    
Vardas25            Pavarde25           7    2    3    5    1    4    9    6    3    7    7    
Vardas26            Pavarde26           7    9    5    5    8    1    5    8    1    1    7    
Vardas27            Pavarde27           10   7    5    3    4    4    10   4    9    10   1    
Vardas28            Pavarde28           2    3    7    8    2    10   7    1    1    1    9    
Vardas29            Pavarde29           6    4    8    9    1    3    10   1    1    4    7    
Vardas30            Pavarde30           8    8    9    9    4    7    5    7    6    5    6    
Vardas31            Pavarde31           3    6    2    6    4    7    7    7    4    8    3    
Vardas32            Pavarde32           5    6    6    6    8    8    6    3    6    5    2    
Vardas33            Pavarde33           8    4    7    5    7    5    2    1    4    9    8    
Vardas34            Pavarde34           3    1    9    6    2    6    8    7    6    8    2    
Vardas35            Pavarde35           7    8    1    2    7    10   6    6    5    2    10   
Vardas36            Pavarde36           7    10   9    2    4    6    9    8    10   8    5    
Vardas37            Pavarde37           3    9    8    8    2    9    7    9    1    9    7    
Vardas38            Pavarde38           4    9    5    5    6    9    10   1    6    5    2    
Vardas39            Pavarde39           4    10   6    7    3    2    1    4    4    6    1    
Vardas40            Pavarde40           9    8    7    9    4    6    4    7    4    4    2    
Vardas41            Pavarde41           3    8    10   9    2    10   6    7    7    6    2    
Vardas42            Pavarde42           3    1    3    5    3    4    2    3    10   1    9    
Vardas43            Pavarde43           5    4    4    8    5    1    7    4    2    5    7    
Vardas44            Pavarde44           3    9    5    5    10   5    9    8    8    10   4    
Vardas45            Pavarde45           3    5    4    8    3    1    7    9    7    2    4    
Vardas46            Pavarde46           1    3    7    10   9    3    5    9    9    7    7    
Vardas47            Pavarde47           7    2    8    10   10   8    4    5    6    5    5    
Vardas48            Pavarde48           10   4    4    8    10   5    3    7    10   7    5    
Vardas49            Pavarde49           10   10   2    10   9    8    6    2    9    5    4    
Vardas50            Pavarde50           1    4    1    7    2    3    4    8    2    2    9    
