Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Eg.  
Vardas1             Pavarde1            6    6    7    2    2    3    8    1    10   5    8    
Vardas2             Pavarde2            5    6    9    8    5    9    4    10   10   1    8    
Vardas3             Pavarde3            10   7    5    6    5    3    1    7    9    2    1    
Vardas4             Pavarde4            7    10   6    9    4    6    1    1    6    1    2    
Vardas5             Pavarde5            1    1    8    1    8    6    2    1    1    4    5    
Vardas6             Pavarde6            4    9    8    10   3    8    3    5    2    8    8    
Vardas7             Pavarde7            1    4    8    9    8    8    3    6    10   5    8    
Vardas8             Pavarde8            5    9    10   6    9    9    6    9    9    4    5    
Vardas9             Pavarde9            2    9    7    6    9    1    8    7    10   4    4    
Vardas10            Pavarde10           2    1    9    4    6    6    5    2    4    3    1    
Vardas11            Pavarde11           8    3    1    6    4    1    7    7    3    8    10   
Vardas12            Pavarde12           8    4    10   2    9    7    3    6    1    3    5    
Vardas13            Pavarde13           6    1    8    4    5    5    8    6    8    4    7    
Vardas14            Pavarde14           7    10   9    10   5    1    8    5    4    5    5    
Vardas15            Pavarde15           2    10   6    9    4    3    2    5    6    6    9    
Vardas16            Pavarde16           4    5    6    9    8    6    8    1    8    2    3    
Vardas17            Pavarde17           3    4    9    2    9    7    8    4    3    2    1    
Vardas18            Pavarde18           2    2    3    4    10   2    2    9    2    6    10   
Vardas19            Pavarde19           1    6    4    6    4    6    9    2    6    8    9    
Vardas20            Pavarde20           1    1    1    3    5    6    5    2    7    7    3    
Vardas21            Pavarde21           3    9    9    7    5    4    8    2    9    2    4    
Vardas22            Pavarde22           9    3    5    1    3    3    10   9    8    9    2    
Vardas23            Pavarde23           2    2    5    2    8    4    10   2    8    2    9    
Vardas24            Pavarde24           3    1    7    6    1    3    9    7    4    7    7    
Vardas25            Pavarde25           3    3    7    5    9    9    1    2    7    1    5    
Vardas26            Pavarde26           4    1    3    8    3    5    8    7    2    6    1    
Vardas27            Pavarde27           9    9    6    1    6    4    9    4    2    1    2    
Vardas28            Pavarde28           6    2    1    4    3    9    10   1    2    7    4    
Vardas29            Pavarde29           2    8    5    2    9    10   5    10   9    5    5    
Vardas30            Pavarde30           2    9    7    9    7    2    4    2    2    8    7    
Vardas31            Pavarde31           6    1    5    1    10   1    2    6    10   9    3    
Vardas32            Pavarde32           7    9    10   1    6    8    10   3    5    9    6    
Vardas33            Pavarde33           1    9    9    5    8    10   7    10   9    6    8    
Vardas34            Pavarde34           6    8    1    2    5    4    3    4    4    2    6    
Vardas35            Pavarde35           2    9    6    1    8    3    6    4    4    6    6    
Vardas36            Pavarde36           2    3    9    9    8    5    2    7    4    3    5    
Vardas37            Pavarde37           8    6    9    6    9    1    9    6    2    3    7    
Vardas38            Pavarde38           4    5    3    9    5    9    6    1    2    10   3    
Vardas39            Pavarde39           10   4    4    2    3    4    6    10   7    2    9    
Vardas40            Pavarde40           6    1    4    9    6    8    9    2    10   10   6    
Vardas41            Pavarde41           6    4    2    3    5    7    2    7    3    6    10   
Vardas42            Pavarde42           5    8    6    1    9    4    6    6    8    10   9    
Vardas43            Pavarde43           4    2    5    2    3    4    8    10   1    8    5    
Vardas44            Pavarde44           6    6    1    2    5    1    9    3    3    8    7    
Vardas45            Pavarde45           2    6    6    9    7    4    8    5    8    7    4    
Vardas46            Pavarde46           6    4    5    4    3    1    1    7    7    5    1    
Vardas47            Pavarde47           10   4    1    10   10   9    6    3    10   9    2    
