Pavarde             Vardas              Galutinis (Med.)    
--------------------------------------------------------------
Vardas1115          Pavarde1115         1.00                
Vardas5237          Pavarde5237         1.40                
Vardas6075          Pavarde6075         1.40                
Vardas9073          Pavarde9073         1.40                
Vardas4616          Pavarde4616         1.40                
Vardas9108          Pavarde9108         1.40                
Vardas396           Pavarde396          1.40                
Vardas1460          Pavarde1460         1.40                
Vardas2346          Pavarde2346         1.40                
Vardas2721          Pavarde2721         1.40                
Vardas9856          Pavarde9856         1.40                
Vardas8161          Pavarde8161         1.40                
Vardas7374          Pavarde7374         1.40                
Vardas604           Pavarde604          1.40                
Vardas5716          Pavarde5716         1.40                
Vardas4101          Pavarde4101         1.40                
Vardas1550          Pavarde1550         1.40                
Vardas5416          Pavarde5416         1.60                
Vardas2158          Pavarde2158         1.80                
Vardas224           Pavarde224          1.80                
Vardas6706          Pavarde6706         1.80                
Vardas607           Pavarde607          1.80                
Vardas6019          Pavarde6019         1.80                
Vardas2212          Pavarde2212         1.80                
Vardas6027          Pavarde6027         1.80                
Vardas6721          Pavarde6721         1.80                
Vardas4128          Pavarde4128         1.80                
Vardas2218          Pavarde2218         1.80                
Vardas5897          Pavarde5897         1.80                
Vardas1533          Pavarde1533         1.80                
Vardas2941          Pavarde2941         1.80                
Vardas3502          Pavarde3502         1.80                
Vardas5712          Pavarde5712         1.80                
Vardas1880          Pavarde1880         1.80                
Vardas5281          Pavarde5281         1.80                
Vardas5256          Pavarde5256         1.80                
Vardas9898          Pavarde9898         1.80                
Vardas3991          Pavarde3991         1.80                
Vardas9120          Pavarde9120         1.80                
Vardas2942          Pavarde2942         1.80                
Vardas2084          Pavarde2084         1.80                
Vardas8445          Pavarde8445         1.80                
Vardas9866          Pavarde9866         1.80                
Vardas8783          Pavarde8783         1.80                
Vardas5127          Pavarde5127         1.80                
Vardas178           Pavarde178          1.80                
Vardas9321          Pavarde9321         1.80                
Vardas4097          Pavarde4097         1.80                
Vardas3540          Pavarde3540         1.80                
Vardas9629          Pavarde9629         1.80                
Vardas360           Pavarde360          1.80                
Vardas518           Pavarde518          1.80                
Vardas8042          Pavarde8042         1.80                
Vardas3277          Pavarde3277         1.80                
Vardas6496          Pavarde6496         1.80                
Vardas3243          Pavarde3243         1.80                
Vardas4411          Pavarde4411         1.80                
Vardas9363          Pavarde9363         1.80                
Vardas9361          Pavarde9361         1.80                
Vardas9585          Pavarde9585         1.80                
Vardas838           Pavarde838          1.80                
Vardas3667          Pavarde3667         1.80                
Vardas7949          Pavarde7949         1.80                
Vardas1319          Pavarde1319         1.80                
Vardas9660          Pavarde9660         1.80                
Vardas6393          Pavarde6393         1.80                
Vardas6395          Pavarde6395         1.80                
Vardas1032          Pavarde1032         1.80                
Vardas4489          Pavarde4489         1.80                
Vardas8179          Pavarde8179         1.80                
Vardas1477          Pavarde1477         1.80                
Vardas9084          Pavarde9084         1.80                
Vardas1209          Pavarde1209         1.80                
Vardas7157          Pavarde7157         1.80                
Vardas2144          Pavarde2144         1.80                
Vardas2842          Pavarde2842         1.80                
Vardas8868          Pavarde8868         1.80                
Vardas4911          Pavarde4911         1.80                
Vardas2836          Pavarde2836         1.80                
Vardas3338          Pavarde3338         1.80                
Vardas8133          Pavarde8133         1.80                
Vardas6580          Pavarde6580         1.80                
Vardas2399          Pavarde2399         1.80                
Vardas3224          Pavarde3224         1.80                
Vardas542           Pavarde542          1.80                
Vardas7125          Pavarde7125         1.80                
Vardas4746          Pavarde4746         1.80                
Vardas9718          Pavarde9718         1.80                
Vardas2452          Pavarde2452         1.80                
Vardas3090          Pavarde3090         1.80                
Vardas3182          Pavarde3182         1.80                
Vardas9179          Pavarde9179         1.80                
Vardas1645          Pavarde1645         1.80                
Vardas1649          Pavarde1649         1.80                
Vardas5431          Pavarde5431         1.80                
Vardas6977          Pavarde6977         1.80                
Vardas6933          Pavarde6933         1.80                
Vardas7534          Pavarde7534         1.80                
Vardas1683          Pavarde1683         1.80                
Vardas5679          Pavarde5679         1.80                
Vardas8689          Pavarde8689         1.80                
Vardas29            Pavarde29           1.80                
Vardas5357          Pavarde5357         1.80                
Vardas8593          Pavarde8593         1.80                
Vardas9575          Pavarde9575         2.00                
Vardas1270          Pavarde1270         2.00                
Vardas762           Pavarde762          2.00                
Vardas6581          Pavarde6581         2.00                
Vardas7752          Pavarde7752         2.00                
Vardas2475          Pavarde2475         2.00                
Vardas4788          Pavarde4788         2.00                
Vardas8631          Pavarde8631         2.00                
Vardas7432          Pavarde7432         2.00                
Vardas3396          Pavarde3396         2.00                
Vardas5473          Pavarde5473         2.00                
Vardas2717          Pavarde2717         2.00                
Vardas8111          Pavarde8111         2.00                
Vardas7580          Pavarde7580         2.00                
Vardas6811          Pavarde6811         2.00                
Vardas4925          Pavarde4925         2.00                
Vardas9252          Pavarde9252         2.00                
Vardas8533          Pavarde8533         2.00                
Vardas2156          Pavarde2156         2.00                
Vardas3079          Pavarde3079         2.00                
Vardas2516          Pavarde2516         2.00                
Vardas8296          Pavarde8296         2.20                
Vardas4201          Pavarde4201         2.20                
Vardas6629          Pavarde6629         2.20                
Vardas3219          Pavarde3219         2.20                
Vardas5411          Pavarde5411         2.20                
Vardas4248          Pavarde4248         2.20                
Vardas1502          Pavarde1502         2.20                
Vardas7167          Pavarde7167         2.20                
Vardas2376          Pavarde2376         2.20                
Vardas626           Pavarde626          2.20                
Vardas3881          Pavarde3881         2.20                
Vardas4141          Pavarde4141         2.20                
Vardas2889          Pavarde2889         2.20                
Vardas9568          Pavarde9568         2.20                
Vardas6147          Pavarde6147         2.20                
Vardas7032          Pavarde7032         2.20                
Vardas1055          Pavarde1055         2.20                
Vardas3870          Pavarde3870         2.20                
Vardas2270          Pavarde2270         2.20                
Vardas6645          Pavarde6645         2.20                
Vardas6953          Pavarde6953         2.20                
Vardas9419          Pavarde9419         2.20                
Vardas8331          Pavarde8331         2.20                
Vardas5462          Pavarde5462         2.20                
Vardas2848          Pavarde2848         2.20                
Vardas1469          Pavarde1469         2.20                
Vardas7243          Pavarde7243         2.20                
Vardas6670          Pavarde6670         2.20                
Vardas9072          Pavarde9072         2.20                
Vardas8212          Pavarde8212         2.20                
Vardas7150          Pavarde7150         2.20                
Vardas6035          Pavarde6035         2.20                
Vardas3712          Pavarde3712         2.20                
Vardas5423          Pavarde5423         2.20                
Vardas7362          Pavarde7362         2.20                
Vardas4869          Pavarde4869         2.20                
Vardas4861          Pavarde4861         2.20                
Vardas3441          Pavarde3441         2.20                
Vardas8029          Pavarde8029         2.20                
Vardas4359          Pavarde4359         2.20                
Vardas4637          Pavarde4637         2.20                
Vardas3242          Pavarde3242         2.20                
Vardas3623          Pavarde3623         2.20                
Vardas3830          Pavarde3830         2.20                
Vardas3139          Pavarde3139         2.20                
Vardas7109          Pavarde7109         2.20                
Vardas7066          Pavarde7066         2.20                
Vardas7070          Pavarde7070         2.20                
Vardas4405          Pavarde4405         2.20                
Vardas4420          Pavarde4420         2.20                
Vardas2575          Pavarde2575         2.20                
Vardas2706          Pavarde2706         2.20                
Vardas2580          Pavarde2580         2.20                
Vardas5521          Pavarde5521         2.20                
Vardas432           Pavarde432          2.20                
Vardas9171          Pavarde9171         2.20                
Vardas4528          Pavarde4528         2.20                
Vardas4467          Pavarde4467         2.20                
Vardas1724          Pavarde1724         2.20                
Vardas2629          Pavarde2629         2.20                
Vardas9648          Pavarde9648         2.20                
Vardas458           Pavarde458          2.20                
Vardas1302          Pavarde1302         2.20                
Vardas3796          Pavarde3796         2.20                
Vardas857           Pavarde857          2.20                
Vardas9731          Pavarde9731         2.20                
Vardas7812          Pavarde7812         2.20                
Vardas8693          Pavarde8693         2.20                
Vardas6172          Pavarde6172         2.20                
Vardas4300          Pavarde4300         2.20                
Vardas862           Pavarde862          2.20                
Vardas7055          Pavarde7055         2.20                
Vardas4752          Pavarde4752         2.20                
Vardas8100          Pavarde8100         2.20                
Vardas4314          Pavarde4314         2.20                
Vardas8081          Pavarde8081         2.20                
Vardas531           Pavarde531          2.20                
Vardas1413          Pavarde1413         2.20                
Vardas2461          Pavarde2461         2.20                
Vardas524           Pavarde524          2.20                
Vardas2465          Pavarde2465         2.20                
Vardas2466          Pavarde2466         2.20                
Vardas8057          Pavarde8057         2.20                
Vardas8054          Pavarde8054         2.20                
Vardas2478          Pavarde2478         2.20                
Vardas3835          Pavarde3835         2.20                
Vardas6535          Pavarde6535         2.20                
Vardas4337          Pavarde4337         2.20                
Vardas3437          Pavarde3437         2.20                
Vardas4340          Pavarde4340         2.20                
Vardas1163          Pavarde1163         2.20                
Vardas4004          Pavarde4004         2.20                
Vardas6822          Pavarde6822         2.20                
Vardas5201          Pavarde5201         2.20                
Vardas1587          Pavarde1587         2.20                
Vardas3054          Pavarde3054         2.20                
Vardas6812          Pavarde6812         2.20                
Vardas4028          Pavarde4028         2.20                
Vardas2903          Pavarde2903         2.20                
Vardas1159          Pavarde1159         2.20                
Vardas2027          Pavarde2027         2.20                
Vardas1162          Pavarde1162         2.20                
Vardas5343          Pavarde5343         2.20                
Vardas1164          Pavarde1164         2.20                
Vardas1165          Pavarde1165         2.20                
Vardas907           Pavarde907          2.20                
Vardas1850          Pavarde1850         2.20                
Vardas4067          Pavarde4067         2.20                
Vardas5887          Pavarde5887         2.20                
Vardas8416          Pavarde8416         2.20                
Vardas9838          Pavarde9838         2.20                
Vardas9947          Pavarde9947         2.20                
Vardas7571          Pavarde7571         2.20                
Vardas1909          Pavarde1909         2.20                
Vardas89            Pavarde89           2.20                
Vardas9142          Pavarde9142         2.20                
Vardas5311          Pavarde5311         2.20                
Vardas6911          Pavarde6911         2.20                
Vardas6896          Pavarde6896         2.20                
Vardas3934          Pavarde3934         2.20                
Vardas1896          Pavarde1896         2.20                
Vardas6867          Pavarde6867         2.20                
Vardas7598          Pavarde7598         2.20                
Vardas5742          Pavarde5742         2.20                
Vardas5749          Pavarde5749         2.20                
Vardas2008          Pavarde2008         2.20                
Vardas5280          Pavarde5280         2.20                
Vardas1911          Pavarde1911         2.20                
Vardas7012          Pavarde7012         2.20                
Vardas1926          Pavarde1926         2.20                
Vardas6847          Pavarde6847         2.20                
Vardas7466          Pavarde7466         2.20                
Vardas8508          Pavarde8508         2.20                
Vardas9475          Pavarde9475         2.20                
Vardas7280          Pavarde7280         2.20                
Vardas688           Pavarde688          2.20                
Vardas5931          Pavarde5931         2.20                
Vardas204           Pavarde204          2.20                
Vardas1062          Pavarde1062         2.20                
Vardas8343          Pavarde8343         2.20                
Vardas7336          Pavarde7336         2.20                
Vardas3752          Pavarde3752         2.20                
Vardas3883          Pavarde3883         2.20                
Vardas8348          Pavarde8348         2.20                
Vardas1253          Pavarde1253         2.40                
Vardas7098          Pavarde7098         2.40                
Vardas9192          Pavarde9192         2.40                
Vardas7977          Pavarde7977         2.40                
Vardas8838          Pavarde8838         2.40                
Vardas535           Pavarde535          2.40                
Vardas1007          Pavarde1007         2.40                
Vardas5482          Pavarde5482         2.40                
Vardas3350          Pavarde3350         2.40                
Vardas4395          Pavarde4395         2.40                
Vardas7670          Pavarde7670         2.40                
Vardas7202          Pavarde7202         2.40                
Vardas2691          Pavarde2691         2.40                
Vardas5015          Pavarde5015         2.40                
Vardas4044          Pavarde4044         2.40                
Vardas5560          Pavarde5560         2.40                
Vardas8429          Pavarde8429         2.40                
Vardas422           Pavarde422          2.40                
Vardas4974          Pavarde4974         2.40                
Vardas3323          Pavarde3323         2.40                
Vardas1818          Pavarde1818         2.40                
Vardas6137          Pavarde6137         2.40                
Vardas4326          Pavarde4326         2.40                
Vardas8317          Pavarde8317         2.40                
Vardas3235          Pavarde3235         2.40                
Vardas5267          Pavarde5267         2.40                
Vardas512           Pavarde512          2.40                
Vardas7554          Pavarde7554         2.40                
Vardas9026          Pavarde9026         2.40                
Vardas8948          Pavarde8948         2.40                
Vardas7204          Pavarde7204         2.40                
Vardas9994          Pavarde9994         2.40                
Vardas6285          Pavarde6285         2.40                
Vardas5785          Pavarde5785         2.40                
Vardas9829          Pavarde9829         2.40                
Vardas5486          Pavarde5486         2.40                
Vardas3048          Pavarde3048         2.40                
Vardas614           Pavarde614          2.40                
Vardas9114          Pavarde9114         2.40                
Vardas3344          Pavarde3344         2.40                
Vardas1965          Pavarde1965         2.40                
Vardas1262          Pavarde1262         2.40                
Vardas8478          Pavarde8478         2.40                
Vardas3181          Pavarde3181         2.40                
Vardas9911          Pavarde9911         2.40                
Vardas2448          Pavarde2448         2.40                
Vardas1671          Pavarde1671         2.40                
Vardas725           Pavarde725          2.40                
Vardas7493          Pavarde7493         2.40                
Vardas6427          Pavarde6427         2.40                
Vardas4228          Pavarde4228         2.40                
Vardas2827          Pavarde2827         2.40                
Vardas1632          Pavarde1632         2.40                
Vardas7257          Pavarde7257         2.40                
Vardas8219          Pavarde8219         2.40                
Vardas7934          Pavarde7934         2.40                
Vardas6063          Pavarde6063         2.40                
Vardas9759          Pavarde9759         2.40                
Vardas758           Pavarde758          2.40                
Vardas1295          Pavarde1295         2.40                
Vardas4085          Pavarde4085         2.40                
Vardas6980          Pavarde6980         2.40                
Vardas3460          Pavarde3460         2.40                
Vardas5539          Pavarde5539         2.40                
Vardas8386          Pavarde8386         2.40                
Vardas9003          Pavarde9003         2.40                
Vardas3097          Pavarde3097         2.40                
Vardas2225          Pavarde2225         2.40                
Vardas219           Pavarde219          2.40                
Vardas2857          Pavarde2857         2.40                
Vardas6935          Pavarde6935         2.40                
Vardas3070          Pavarde3070         2.40                
Vardas7172          Pavarde7172         2.40                
Vardas6985          Pavarde6985         2.40                
Vardas6619          Pavarde6619         2.40                
Vardas2795          Pavarde2795         2.40                
Vardas5405          Pavarde5405         2.40                
Vardas3143          Pavarde3143         2.40                
Vardas5135          Pavarde5135         2.40                
Vardas7590          Pavarde7590         2.40                
Vardas7271          Pavarde7271         2.40                
Vardas474           Pavarde474          2.40                
Vardas3708          Pavarde3708         2.40                
Vardas71            Pavarde71           2.40                
Vardas5062          Pavarde5062         2.40                
Vardas2364          Pavarde2364         2.40                
Vardas6437          Pavarde6437         2.60                
Vardas7507          Pavarde7507         2.60                
Vardas7911          Pavarde7911         2.60                
Vardas1189          Pavarde1189         2.60                
Vardas3027          Pavarde3027         2.60                
Vardas4370          Pavarde4370         2.60                
Vardas482           Pavarde482          2.60                
Vardas3970          Pavarde3970         2.60                
Vardas3845          Pavarde3845         2.60                
Vardas6453          Pavarde6453         2.60                
Vardas3879          Pavarde3879         2.60                
Vardas9470          Pavarde9470         2.60                
Vardas505           Pavarde505          2.60                
Vardas477           Pavarde477          2.60                
Vardas7423          Pavarde7423         2.60                
Vardas1086          Pavarde1086         2.60                
Vardas4387          Pavarde4387         2.60                
Vardas9138          Pavarde9138         2.60                
Vardas2681          Pavarde2681         2.60                
Vardas7589          Pavarde7589         2.60                
Vardas3149          Pavarde3149         2.60                
Vardas9690          Pavarde9690         2.60                
Vardas4466          Pavarde4466         2.60                
Vardas3966          Pavarde3966         2.60                
Vardas2703          Pavarde2703         2.60                
Vardas6910          Pavarde6910         2.60                
Vardas9609          Pavarde9609         2.60                
Vardas7688          Pavarde7688         2.60                
Vardas9508          Pavarde9508         2.60                
Vardas4381          Pavarde4381         2.60                
Vardas3930          Pavarde3930         2.60                
Vardas4470          Pavarde4470         2.60                
Vardas2893          Pavarde2893         2.60                
Vardas4408          Pavarde4408         2.60                
Vardas2806          Pavarde2806         2.60                
Vardas7756          Pavarde7756         2.60                
Vardas759           Pavarde759          2.60                
Vardas7736          Pavarde7736         2.60                
Vardas4062          Pavarde4062         2.60                
Vardas657           Pavarde657          2.60                
Vardas7785          Pavarde7785         2.60                
Vardas6776          Pavarde6776         2.60                
Vardas7553          Pavarde7553         2.60                
Vardas4073          Pavarde4073         2.60                
Vardas4239          Pavarde4239         2.60                
Vardas4241          Pavarde4241         2.60                
Vardas1240          Pavarde1240         2.60                
Vardas2791          Pavarde2791         2.60                
Vardas6604          Pavarde6604         2.60                
Vardas4182          Pavarde4182         2.60                
Vardas6599          Pavarde6599         2.60                
Vardas3111          Pavarde3111         2.60                
Vardas6634          Pavarde6634         2.60                
Vardas600           Pavarde600          2.60                
Vardas4216          Pavarde4216         2.60                
Vardas7677          Pavarde7677         2.60                
Vardas2929          Pavarde2929         2.60                
Vardas1074          Pavarde1074         2.60                
Vardas3093          Pavarde3093         2.60                
Vardas3197          Pavarde3197         2.60                
Vardas2924          Pavarde2924         2.60                
Vardas6755          Pavarde6755         2.60                
Vardas2844          Pavarde2844         2.60                
Vardas799           Pavarde799          2.60                
Vardas3864          Pavarde3864         2.60                
Vardas7686          Pavarde7686         2.60                
Vardas4192          Pavarde4192         2.60                
Vardas7640          Pavarde7640         2.60                
Vardas2738          Pavarde2738         2.60                
Vardas9479          Pavarde9479         2.60                
Vardas2735          Pavarde2735         2.60                
Vardas6971          Pavarde6971         2.60                
Vardas7856          Pavarde7856         2.60                
Vardas3742          Pavarde3742         2.60                
Vardas2976          Pavarde2976         2.60                
Vardas6549          Pavarde6549         2.60                
Vardas7838          Pavarde7838         2.60                
Vardas9515          Pavarde9515         2.60                
Vardas520           Pavarde520          2.60                
Vardas9380          Pavarde9380         2.60                
Vardas6833          Pavarde6833         2.60                
Vardas7860          Pavarde7860         2.60                
Vardas6915          Pavarde6915         2.60                
Vardas6708          Pavarde6708         2.60                
Vardas4341          Pavarde4341         2.60                
Vardas2885          Pavarde2885         2.60                
Vardas2755          Pavarde2755         2.60                
Vardas6819          Pavarde6819         2.60                
Vardas1199          Pavarde1199         2.60                
Vardas638           Pavarde638          2.60                
Vardas9093          Pavarde9093         2.60                
