Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas1             Pavarde1            6    6    8    10   10   10   10   6    6    9    
Vardas2             Pavarde2            2    5    7    5    5    6    6    8    1    6    
Vardas3             Pavarde3            5    10   5    9    7    4    5    10   6    2    
Vardas4             Pavarde4            8    2    5    10   2    9    4    10   8    5    
Vardas5             Pavarde5            7    5    9    8    1    4    2    6    3    2    
Vardas6             Pavarde6            5    4    9    3    1    4    4    5    1    5    
Vardas7             Pavarde7            4    10   1    6    3    5    8    2    6    8    
Vardas8             Pavarde8            5    6    2    8    5    9    4    5    4    8    
Vardas9             Pavarde9            8    5    3    1    10   2    10   7    5    7    
Vardas10            Pavarde10           9    3    6    1    9    3    6    5    10   7    
Vardas11            Pavarde11           8    4    9    2    4    10   6    3    6    3    
Vardas12            Pavarde12           7    3    7    10   8    4    9    4    9    8    
Vardas13            Pavarde13           3    7    5    3    7    2    2    9    4    10   
Vardas14            Pavarde14           6    7    2    9    9    8    9    7    2    2    
Vardas15            Pavarde15           8    10   1    3    7    5    7    10   5    5    
Vardas16            Pavarde16           8    1    3    5    4    2    9    6    4    8    
Vardas17            Pavarde17           5    4    3    6    8    1    3    5    10   1    
Vardas18            Pavarde18           2    10   3    6    9    9    9    4    1    6    
Vardas19            Pavarde19           4    2    1    7    9    5    4    9    5    3    
Vardas20            Pavarde20           4    1    2    9    2    6    7    3    9    4    
Vardas21            Pavarde21           10   10   5    2    7    3    1    10   3    5    
Vardas22            Pavarde22           3    5    4    9    4    8    4    3    8    4    
Vardas23            Pavarde23           8    3    6    8    6    7    4    5    9    7    
Vardas24            Pavarde24           8    8    5    4    10   1    1    5    5    5    
Vardas25            Pavarde25           8    10   10   4    4    7    8    3    1    1    
Vardas26            Pavarde26           10   10   10   10   5    3    7    6    7    6    
Vardas27            Pavarde27           8    10   6    4    6    3    6    4    8    8    
Vardas28            Pavarde28           8    3    1    4    5    5    9    8    8    3    
Vardas29            Pavarde29           2    10   10   5    10   6    3    10   3    4    
Vardas30            Pavarde30           7    6    1    10   5    1    9    7    4    10   
